,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,underground,price_per_meter
2679,Москва,3,23,3,92.4,29999999,2005,54.6,7.0,Москворечье-Сабурово,Кантемировская,324675
2680,Москва,6,8,2,52.1,22900000,1956,46.300000000000004,5.8,Алексеевский,ВДНХ,439539
2681,Москва,2,5,2,44.0,13700000,1964,30.0,8.0,Преображенское,Преображенская площадь,311363
2683,Москва,2,21,2,57.1,23300000,2023,30.7,12.5,Хорошевский,Зорге,408056
2684,Москва,5,9,2,49.1,13850000,1968,29.2,6.8,Аэропорт,Гражданская,282077
2685,Москва,12,12,1,39.0,10800000,1976,21.0,9.0,Чертаново Южное,Улица Академика Янгеля,276923
2686,Москва,12,17,3,74.0,44300000,2019,50.0,18.0,Даниловский,ЗИЛ,598648
2687,Москва,2,4,3,92.7,29478600,2014,83.7,9.0,Покровское-Стрешнево,Тушинская,318000
2688,Москва,3,8,3,84.0,33000000,1951,45.0,12.0,Мещанский,Проспект Мира,392857
2689,Москва,8,24,3,111.0,67500000,2008,59.0,15.0,Раменки,Ломоносовский проспект,608108
2694,Москва,14,17,1,38.4,8700000,2014,28.4,10.0,Москва,Ольховая,226562
2696,Москва,7,14,2,52.3,13500000,1990,30.4,8.5,Крюково,Зеленоград — Крюково,258126
2698,Москва,6,6,2,57.3,52500000,2022,44.3,13.0,Марьина роща,Марьина Роща,916230
2699,Москва,8,9,2,53.4,16000000,2026,25.5,12.0,Москва,Потапово,299625
2700,Москва,6,6,1,41.2,10260000,2024,13.1,17.8,Москва,Потапово,249029
2702,Москва,1,5,3,80.0,32000000,1954,61.0,7.0,Филевский парк,Филёвский парк,400000
2704,Москва,30,37,1,34.8,14050000,2010,21.0,10.0,Хорошевский,Беговая,403735
2705,Москва,16,17,2,108.9,40990000,2007,50.0,26.0,Лефортово,Лефортово,376400
2706,Москва,7,9,3,60.0,12480000,1972,42.8,6.0,Рязанский,Рязанский проспект,208000
2707,Москва,21,52,4,110.0,76500000,2020,65.0,40.0,Раменки,Раменки,695454
2708,Москва,5,21,2,65.2,61500000,2023,30.0,24.0,Пресненский,Улица 1905 года,943251
2709,Москва,2,9,3,75.7,34300000,1958,50.6,8.0,Ломоносовский,Университет,453104
2710,Москва,4,12,1,31.7,8400000,2024,11.9,8.8,Москва,Ольховая,264984
2711,Москва,26,27,2,85.4,55000000,2021,60.400000000000006,25.0,Хорошево-Мневники,Шелепиха,644028
2712,Москва,2,25,1,33.7,10500000,2014,12.7,13.6,Москва,Ольховая,311572
2713,Москва,6,17,1,38.9,15999999,1995,8.5,19.1,Раменки,Раменки,411311
2716,Москва,4,6,3,170.0,249900000,2006,150.0,15.0,Хамовники,Кропоткинская,1470000
2717,Москва,10,10,5,212.0,249900000,2002,105.3,20.8,Тверской,Пушкинская,1178773
2719,Москва,4,22,2,73.0,29000000,2023,55.4,17.6,Лефортово,Площадь Ильича,397260
2720,Москва,3,16,2,36.0,10600000,1975,26.0,5.0,Лефортово,Серп и Молот,294444
2722,Москва,4,17,1,39.0,12650000,1993,19.1,8.6,Митино,Пятницкое шоссе,324358
2723,Москва,1,7,4,300.0,300000000,2004,280.0,20.0,Хамовники,Киевская,1000000
2724,Москва,10,53,3,141.0,84500000,2012,90.0,20.0,Раменки,Ломоносовский проспект,599290
2725,Москва,4,8,4,179.0,400000000,2015,143.0,27.0,Хамовники,Спортивная,2234636
2727,Москва,29,33,3,196.6,232000000,2012,80.0,20.0,Раменки,Ломоносовский проспект,1180061
2729,Москва,4,7,3,112.2,117900000,2017,64.5,12.0,Арбат,Арбатская,1050802
2730,Москва,5,8,3,178.0,169300000,2015,130.0,25.0,Хамовники,Спортивная,951123
2731,Москва,11,12,4,243.0,346000000,2022,171.0,30.0,Хамовники,Спортивная,1423868
2732,Москва,7,7,4,213.0,228900000,2017,120.0,20.0,Арбат,Арбатская,1074647
2733,Москва,8,9,1,32.0,9490000,1964,21.5,6.0,Кузьминки,Кузьминки,296562
2734,Москва,3,9,2,44.7,11700000,1979,30.0,6.3,Косино-Ухтомский,Улица Дмитриевского,261744
2735,Москва,3,3,3,100.8,250000000,1926,80.0,10.0,Пресненский,Пушкинская,2480158
2736,Москва,5,14,2,50.6,14900000,2000,30.8,8.4,Восточное Дегунино,Верхние Лихоборы,294466
2740,Москва,5,9,3,60.7,25000000,1943,40.5,7.0,Пресненский,Краснопресненская,411861
2741,Москва,4,5,1,37.1,18500000,1959,21.7,8.0,Красносельский,Красносельская,498652
2742,Москва,3,6,3,65.0,18990000,1958,45.0,12.0,Нагатино-Садовники,Коломенская,292153
2745,Москва,10,23,5,196.1,80000000,2000,117.7,16.2,Гагаринский,Вавиловская,407955
2747,Москва,17,17,3,75.9,20500000,2017,44.3,12.0,Москва,Рассказовка,270092
2748,Москва,2,24,2,58.0,15300000,2024,35.0,11.0,Северное Измайлово,Щёлковская,263793
2757,Москва,22,24,2,64.0,24800000,2019,33.1,12.9,Дмитровский,Яхромская,387500
2759,Москва,17,17,3,74.0,18200000,1993,50.0,10.0,Митино,Пятницкое шоссе,245945
2760,Москва,4,12,3,69.3,21200000,2021,49.4,19.9,Рязанский,Плющево,305916
2761,Москва,4,34,2,51.0,17299000,2022,30.0,11.0,Очаково-Матвеевское,Озёрная,339196
2762,Москва,4,9,2,49.5,16900000,1974,34.0,7.0,Отрадное,Отрадное,341414
2763,Москва,10,11,1,33.0,15550000,1962,21.9,6.0,Гагаринский,Ленинский проспект,471212
2764,Москва,4,8,4,149.5,184900000,2022,80.0,40.0,Таганский,Таганская,1236789
2766,Москва,2,6,2,70.0,96740200,2009,40.0,10.0,Таганский,Таганская,1382002
2767,Москва,5,24,3,90.0,36000000,2023,52.6,16.8,Хорошево-Мневники,Шелепиха,400000
2769,Москва,3,9,1,33.0,8700000,1974,18.0,6.0,Бибирево,Бибирево,263636
2774,Москва,5,5,2,44.0,15800000,1962,38.0,6.0,Южное Тушино,Сходненская,359090
2775,Москва,14,17,1,43.0,13300000,2017,20.0,10.0,Бабушкинский,Бабушкинская,309302
2776,Москва,2,9,3,59.0,14790000,1970,51.0,8.0,Рязанский,Рязанский проспект,250677
2779,Москва,16,27,5,180.0,157600000,2018,105.0,25.0,Беговой,Белорусская,875555
2780,Москва,7,7,5,482.0,1200000000,2015,350.0,100.0,Хамовники,Спортивная,2489626
2781,Москва,6,8,4,236.0,349800000,2015,154.7,48.3,Хамовники,Спортивная,1482203
2782,Москва,4,8,4,450.0,431900000,2015,390.0,50.0,Хамовники,Спортивная,959777
2784,Москва,6,12,1,34.9,10500000,1990,19.2,9.8,Троицк,Москва,300859
2785,Москва,8,9,1,31.6,13700000,1964,16.0,5.3,Нагатинский затон,Коломенская,433544
2787,Москва,5,10,4,93.0,31000000,2000,64.1,10.2,Академический,Академическая,333333
2789,Москва,16,26,1,38.0,21700000,2023,22.0,16.0,Лефортово,Авиамоторная,571052
2791,Москва,12,17,1,37.9,13500000,2007,18.9,7.3,Нагорный,Варшавская,356200
2792,Москва,3,8,2,51.0,15770000,1960,28.2,8.0,Тимирязевский,Петровско-Разумовская,309215
2795,Москва,9,9,2,44.2,14500000,1965,32.0,7.0,Головинский,Речной вокзал,328054
2796,Москва,2,16,3,75.0,22000000,1975,46.0,10.0,Академический,Академическая,293333
2799,Москва,4,9,4,185.0,228700000,1998,120.0,59.0,Хамовники,Парк Культуры,1236216
2800,Москва,4,9,5,168.0,36000000,2000,113.0,18.0,Южное Бутово,Бунинская аллея,214285
2801,Москва,9,41,1,37.5,20000000,2024,16.8,14.5,Даниловский,Серпуховская,533333
2802,Москва,7,23,2,38.0,23500000,2018,29.0,9.0,Хорошево-Мневники,Зорге,618421
2803,Москва,4,13,2,65.0,29990000,2023,35.0,14.0,Академический,Академическая,461384
2805,Москва,9,12,3,81.65,13339405,2026,48.2,16.9,Москва,Рассказовка,163372
2806,Москва,4,5,1,38.0,9350000,1960,18.0,6.0,Котловка,Нагорная,246052
2807,Москва,16,18,1,39.8,10800000,2018,18.0,11.0,Москва,Ольховая,271356
2808,Москва,3,10,3,83.0,23500000,1953,54.1,10.7,Бутырский,Дмитровская,283132
2809,Москва,12,17,3,75.0,25900000,1986,65.0,10.0,Крылатское,Крылатское,345333
2810,Москва,18,22,1,38.6,10500000,1985,20.1,10.2,Братеево,Алма-Атинская,272020
2811,Москва,8,53,3,110.0,100000000,2012,65.0,28.0,Раменки,Ломоносовский проспект,909090
2814,Москва,4,9,1,35.0,13700000,1977,25.0,10.0,Даниловский,Тульская,391428
2815,Москва,5,19,2,60.3,16300000,2014,32.3,12.0,Москва,Мичуринец,270315
2816,Москва,3,8,3,136.6,110000000,2006,84.0,16.0,Басманный,Бауманская,805270
2818,Москва,5,27,3,74.5,22500000,2016,64.5,10.0,Москва,Рассказовка,302013
2820,Москва,5,9,3,63.0,21500000,1954,55.0,8.0,Беговой,Беговая,341269
2821,Москва,1,5,3,41.4,11000000,1965,32.7,5.4,Гольяново,Черкизовская,265700
2822,Москва,3,9,2,33.7,10900000,1968,20.7,6.0,Южное Тушино,Сходненская,323442
2823,Москва,9,14,2,44.8,13500000,1974,28.5,5.9,Войковский,Красный Балтиец,301339
2824,Москва,16,19,1,17.9,18500000,2025,10.0,5.0,Академический,Академическая,1033519
2825,Москва,17,22,2,44.6,18700000,2023,30.0,10.0,Хорошевский,Хорошёвская,419282
2829,Москва,3,14,3,167.0,309990000,2021,100.0,27.0,Хамовники,Киевская,1856227
2830,Москва,3,8,5,240.0,397100000,2016,189.0,20.0,Хамовники,Спортивная,1654583
2833,Москва,29,33,3,95.0,58000000,2024,61.8,11.5,Даниловский,Серпуховская,610526
2835,Москва,12,29,2,46.2,17120000,2027,14.2,15.3,Нижегородский,Нижегородская,370562
2838,Москва,10,14,2,39.0,12400000,1966,25.0,7.5,Щукино,Щукинская,317948
2841,Москва,7,10,1,22.29,6727609,2025,10.1,4.3,Москва,Щербинка,301821
2842,Москва,7,10,3,76.08,15048294,2025,40.8,16.9,Москва,Щербинка,197795
2843,Москва,13,14,1,34.72,12250904,2024,21.9,4.2,Москва,Щербинка,352848
2844,Москва,13,14,1,32.8,8958326,2023,10.3,10.6,Москва,Щербинка,273119
2845,Москва,3,14,2,62.6,15106666,2025,35.6,5.7,Москва,Щербинка,241320
2846,Москва,3,14,3,78.51,16342371,2025,49.4,8.0,Москва,Щербинка,208156
2848,Москва,5,22,1,38.0,11700000,1993,19.0,10.0,Митино,Пятницкое шоссе,307894
2849,Москва,9,14,2,77.0,59900000,2021,27.0,25.0,Раменки,Минская,777922
2850,Москва,15,24,1,43.0,15000000,2017,23.0,13.5,Орехово-Борисово Северное,Домодедовская,348837
2851,Москва,10,42,1,42.0,26000000,2023,13.0,20.0,Хорошево-Мневники,Шелепиха,619047
2853,Москва,2,12,1,39.4,7999999,1981,20.2,8.4,Силино,Зеленоград — Крюково,203045
2854,Москва,27,52,3,124.0,118000000,2012,82.0,17.3,Раменки,Ломоносовский проспект,951612
2855,Москва,3,17,2,53.4,16600000,1986,31.9,9.2,Крылатское,Крылатское,310861
2856,Москва,15,32,4,147.2,75000000,2008,108.0,35.0,Щукино,Щукинская,509510
2857,Москва,3,14,2,69.5,23400000,1999,42.0,13.5,Коптево,Красный Балтиец,336690
2858,Москва,25,31,2,63.8,20500000,2020,36.6,10.2,Северное Измайлово,Щёлковская,321316
2860,Москва,22,26,2,40.4,18500000,2015,30.4,10.0,Головинский,Водный стадион,457920
2861,Москва,5,5,2,58.0,33000000,1958,35.0,8.0,Хамовники,Спортивная,568965
2862,Москва,7,17,2,54.0,17400000,2021,28.0,11.0,Перово,Перово,322222
2863,Москва,2,5,2,42.2,15000000,1960,36.2,6.0,Гагаринский,Ленинский проспект,355450
2864,Москва,8,16,1,37.8,10950000,1980,19.1,8.0,Ярославский,Медведково,289682
2865,Москва,5,5,4,98.0,27500000,1955,72.0,8.0,Текстильщики,Волжская,280612
2866,Москва,5,12,1,35.0,11600000,1969,19.9,9.7,Раменки,Поклонная,331428
2867,Москва,8,15,1,36.6,12500000,2021,22.0,9.0,Москва,Потапово,341530
2868,Москва,8,24,3,73.6,38600000,2023,48.0,6.8,Нагатинский затон,Технопарк,524456
2869,Москва,6,12,1,38.9,14300000,1981,30.299999999999997,8.6,Строгино,Строгино,367609
2870,Москва,1,9,4,64.0,12490000,1976,46.3,6.0,Орехово-Борисово Южное,Домодедовская,195156
2871,Москва,10,44,3,95.0,41000000,2007,80.0,15.0,Хорошевский,Беговая,431578
2872,Москва,5,10,1,39.4,14000000,1982,20.2,10.5,Измайлово,Первомайская,355329
2875,Москва,10,44,3,87.3,68500000,2019,77.3,10.0,Пресненский,Улица 1905 года,784650
2876,Москва,3,14,3,83.6,21000000,1994,53.6,8.3,Восточное Дегунино,Бескудниково,251196
2878,Москва,9,12,2,39.1,15000000,1967,23.5,7.0,Алексеевский,ВДНХ,383631
2880,Москва,5,17,2,51.0,13500000,1994,30.5,8.5,Выхино-Жулебино,Лермонтовский проспект,264705
2881,Москва,2,5,2,40.6,16500000,2020,28.6,12.0,Гольяново,Черкизовская,406403
2882,Москва,1,5,2,43.1,12490000,1962,28.9,5.8,Аэропорт,Красный Балтиец,289791
2883,Москва,30,32,2,42.0,27000000,2015,30.0,10.0,Хорошево-Мневники,Народное Ополчение,642857
2884,Москва,1,8,3,62.0,19800000,1960,51.0,6.0,Соколиная гора,Измайлово,319354
2886,Москва,15,24,2,39.0,14200000,2021,10.0,20.0,Метрогородок,Бульвар Рокоссовского,364102
2889,Москва,4,24,2,66.0,35000000,2022,40.0,6.0,Хорошево-Мневники,Шелепиха,530303
2891,Москва,9,9,1,34.0,11580000,1968,27.0,7.0,Зюзино,Зюзино,340588
2892,Москва,4,57,1,27.0,15500000,2024,14.9,6.0,Марьина роща,Марьина Роща,574074
2893,Москва,4,9,4,87.4,16500000,1970,61.0,6.2,Вешняки,Выхино,188787
2894,Москва,17,18,2,36.0,12800000,2022,22.0,9.0,Западное Дегунино,Ховрино,355555
2895,Москва,9,12,3,64.1,20000000,1970,44.6,9.2,Солнцево,Говорово,312012
2897,Москва,9,9,3,80.5,35500000,1960,62.0,11.5,Басманный,Электрозаводская,440993
2898,Москва,4,14,1,42.5,16500000,1988,20.4,8.2,Ховрино,Грачёвская,388235
2899,Москва,20,21,1,31.2,15580552,2023,18.5,5.0,Хорошево-Мневники,Зорге,499376
2901,Москва,3,12,1,36.0,13600000,1967,19.0,9.7,Новогиреево,Новогиреево,377777
2902,Москва,6,9,3,75.0,19000000,1974,47.1,10.8,Коптево,Лихоборы,253333
2904,Москва,3,12,4,100.2,19400000,2024,54.8,28.8,Москва,Прокшино,193612
2909,Москва,3,15,1,33.0,9350000,2019,25.0,8.0,Москва,Потапово,283333
2910,Москва,7,27,2,74.7,24900000,2021,35.0,6.0,Алексеевский,Алексеевская,333333
2911,Москва,6,17,3,100.0,54990000,2016,56.0,12.0,Раменки,Раменки,549900
2912,Москва,1,5,3,104.0,27000000,1957,73.0,8.2,Ростокино,Улица Сергея Эйзенштейна,259615
2917,Москва,2,8,1,29.3,12700000,1960,17.8,4.6,Раменки,Ломоносовский проспект,433447
2918,Москва,5,14,2,53.0,21990000,2001,30.0,10.0,Нагорный,Варшавская,414905
2919,Москва,12,29,1,30.2,12480000,2027,8.5,13.7,Нижегородский,Нижегородская,413245
2920,Москва,3,6,2,54.2,32700000,1941,30.4,12.2,Беговой,Динамо,603321
2921,Москва,3,12,1,33.0,7790000,1971,16.0,9.0,Головинский,Моссельмаш,236060
2922,Москва,13,13,2,45.0,16100000,1975,39.0,6.0,Войковский,Красный Балтиец,357777
2923,Москва,3,17,2,64.5,23600000,1998,52.2,12.3,Нижегородский,Нижегородская,365891
2924,Москва,3,9,3,70.9,14500000,1974,49.0,12.0,Москва,Троицк,204513
2925,Москва,1,5,3,84.0,17000000,1958,53.4,7.0,Покровское-Стрешнево,Тушинская,202380
2928,Москва,12,17,3,75.5,21500000,1986,50.4,10.5,Крылатское,Крылатское,284768
2929,Москва,2,15,1,40.6,13500000,2019,20.0,13.0,Москва,Саларьево,332512
2930,Москва,1,5,3,62.0,16850000,1962,51.0,6.0,Кузьминки,Кузьминки,271774
2931,Москва,9,13,2,50.5,20500000,1971,27.5,18.0,Даниловский,Автозаводская,405940
2932,Москва,2,11,3,79.3,30000000,2002,50.3,10.6,Басманный,Электрозаводская,378310
2933,Москва,4,9,2,60.9,19000000,2021,30.4,14.9,Москва,Румянцево,311986
2934,Москва,3,9,4,63.0,18500000,1970,46.0,6.0,Хорошево-Мневники,Народное Ополчение,293650
2937,Москва,2,5,1,34.0,15500000,1957,20.0,7.0,Беговой,Динамо,455882
2938,Москва,8,10,3,72.5,23700000,2024,45.0,11.5,Измайлово,Партизанская,326896
2940,Москва,10,25,3,79.1,30000000,2023,40.0,12.5,Щукино,Щукинская,379266
2941,Москва,5,9,1,30.0,8700000,1970,19.5,5.5,Богородское,Бульвар Рокоссовского,290000
2942,Москва,7,20,1,39.5,10500000,2023,17.5,9.0,Бирюлево Восточное,Царицыно,265822
2943,Москва,10,12,1,35.0,9200000,1969,20.0,10.0,Головинский,Моссельмаш,262857
2946,Москва,4,33,2,52.0,27000000,2023,42.0,10.0,Хорошево-Мневники,Шелепиха,519230
2947,Москва,5,5,2,43.4,11000000,1962,25.8,6.0,Перово,Перово,253456
2948,Москва,1,9,2,47.1,12000000,1977,29.7,9.4,Орехово-Борисово Южное,Домодедовская,254777
2949,Москва,10,12,2,39.0,9500000,1966,23.5,6.5,Северное Измайлово,Щёлковская,243589
2950,Москва,4,12,2,52.6,13900000,1968,31.5,9.2,Нижегородский,Калитники,264258
2951,Москва,4,19,1,38.0,8499000,2011,21.0,8.0,Москва,Рассказовка,223657
2952,Москва,3,26,1,34.0,14850000,2024,22.0,12.0,Нагатино-Садовники,Нагатинская,436764
2955,Москва,2,12,2,50.9,20000000,1987,30.0,9.0,Свиблово,Свиблово,392927
2958,Москва,3,15,2,48.9,11100000,2025,22.8,10.6,Москва,Ольховая,226993
2963,Москва,7,16,3,65.7,17500000,1982,40.4,8.5,Бабушкинский,Бабушкинская,266362
2964,Москва,7,9,3,87.0,22100000,2024,41.6,25.9,Москва,Потапово,254022
2965,Москва,3,55,1,41.74,18500000,2024,23.8,7.4,Марьина роща,Марьина Роща,443219
2967,Москва,13,17,1,33.7,9350000,2013,19.700000000000003,14.0,Солнцево,Мещерская,277448
2968,Москва,23,25,1,20.4,8990000,2024,9.4,6.0,Нижегородский,Нижегородская,440686
2969,Москва,12,15,1,33.0,12000000,2020,17.3,8.0,Москва,Новомосковская,363636
2970,Москва,1,9,3,55.8,14800000,1973,37.6,6.0,Северное Медведково,Медведково,265232
2971,Москва,6,9,1,16.2,6700000,1978,12.2,4.0,Головинский,Грачёвская,413580
2972,Москва,11,12,2,51.5,11300000,1971,42.0,9.5,Матушкино,Зеленоград — Крюково,219417
2973,Москва,15,16,2,50.0,16800000,1983,29.0,10.0,Люблино,Люблино,336000
2975,Москва,13,14,1,24.5,6200000,2021,10.2,6.3,Москва,Санино,253061
2976,Москва,10,10,2,57.5,18100000,2024,33.8,10.0,Измайлово,Партизанская,314782
2977,Москва,8,24,2,58.0,15100000,1997,49.0,9.0,Орехово-Борисово Южное,Домодедовская,260344
2978,Москва,13,13,2,40.8,30000000,2022,25.8,10.0,Даниловский,Остров мечты,735294
2979,Москва,18,26,1,34.5,16500000,2024,12.0,15.0,Нагатино-Садовники,Нагатинская,478260
2980,Москва,18,26,1,33.5,16500000,2024,12.0,14.0,Нагатино-Садовники,Нагатинская,492537
2982,Москва,4,14,1,34.3,14450000,2017,17.3,8.5,Солнцево,Говорово,421282
2983,Москва,18,40,4,114.5,45000000,2012,80.0,15.0,Кунцево,Молодёжная,393013
2986,Москва,5,5,1,32.9,6350000,1968,17.0,7.8,Южное Бутово,Щербинка,193009
2989,Москва,4,5,2,50.0,13400000,1960,30.0,8.0,Восточное Измайлово,Первомайская,268000
2990,Москва,2,14,3,92.8,25500000,2022,58.0,28.0,Москва,Потапово,274784
2992,Москва,3,9,2,43.2,11850000,2020,13.0,23.0,Москва,Потапово,274305
2994,Москва,7,12,2,38.5,11550000,1966,23.5,6.4,Головинский,Водный стадион,300000
2995,Москва,9,12,1,32.0,8900000,1974,16.8,7.7,Орехово-Борисово Северное,Домодедовская,278125
2997,Москва,1,9,2,45.5,10200000,1969,28.0,6.0,Матушкино,Зеленоград — Крюково,224175
2998,Москва,9,9,1,32.6,11150000,1979,18.9,6.5,Котловка,Крымская,342024
2999,Москва,3,8,2,33.7,26500000,1931,25.9,5.0,Хамовники,Кропоткинская,786350
3001,Москва,7,14,2,41.0,15000000,1974,25.0,7.0,Щукино,Октябрьское поле,365853
3002,Москва,14,16,3,65.1,17000000,1978,44.8,8.1,Теплый Стан,Генерала Тюленева,261136
3004,Москва,9,11,2,53.2,11000000,2021,30.8,10.2,Москва,Щербинка,206766
3005,Москва,31,31,1,38.0,15990000,2023,22.0,16.0,Нижегородский,Нижегородская,420789
3006,Москва,17,34,1,42.4,16199999,2027,14.6,6.0,Щукино,Стрешнево,382075
3007,Москва,25,25,1,33.2,13999999,2024,14.5,11.8,Нижегородский,Нижегородская,421686
3008,Москва,4,5,3,65.4,22000000,1953,42.8,7.5,Пресненский,Москва-Сити,336391
3009,Москва,9,15,2,83.0,38000000,1986,41.0,11.7,Крылатское,Крылатское,457831
3010,Москва,3,4,1,32.5,8000000,1962,19.6,5.8,Восточный,Щёлковская,246153
3012,Москва,2,25,2,63.0,22890000,2022,35.0,11.0,Ломоносовский,Профсоюзная,363333
3013,Москва,8,18,2,60.9,16100000,2023,45.9,15.0,Останкинский,Ботанический сад,264367
3014,Москва,5,9,2,44.5,12200000,1963,28.0,6.0,Войковский,Водный стадион,274157
3015,Москва,19,29,3,85.5,45000000,2025,49.0,13.5,Нагатино-Садовники,Нагатинская,526315
3016,Москва,4,18,2,49.1,10998400,2023,39.1,10.0,Останкинский,Ботанический сад,224000
3017,Москва,4,9,2,36.7,10000000,1964,22.7,7.5,Северное Измайлово,Щёлковская,272479
3019,Москва,37,52,1,40.3,18300000,2024,13.1,14.6,Покровское-Стрешнево,Тушинская,454094
3020,Москва,4,21,2,54.5,58000000,2023,35.0,10.0,Пресненский,Улица 1905 года,1064220
3021,Москва,15,25,2,58.1,14500000,2016,33.0,12.0,Москва,Новомосковская,249569
3022,Москва,8,9,3,58.9,13199000,1969,35.5,7.0,Выхино-Жулебино,Юго-Восточная,224091
3024,Москва,4,21,2,57.5,55000000,2023,35.0,10.0,Пресненский,Улица 1905 года,956521
3025,Видное,20,24,1,38.1,9442895,2025,14.0,10.9,Видное,Бирюлёво,247845
3026,Видное,6,17,1,44.4,8000000,2010,36.4,8.0,Видное,Домодедовская,180180
3027,Видное,1,5,1,32.0,5100000,1972,18.0,6.0,Видное,Домодедовская,159375
3030,Видное,20,24,1,34.4,9786800,2026,10.8,13.8,Видное,Бирюлёво,284500
3031,Видное,2,16,1,38.7,5950000,1989,19.6,9.5,Видное,Домодедовская,153746
3033,Видное,23,25,1,38.3,9336008,2026,14.0,11.0,Видное,Бирюлёво,243760
3035,Видное,8,8,1,32.9,4950000,2020,18.9,9.0,Видное,Бутово,150455
3036,Видное,24,24,1,38.2,9653140,2025,13.9,11.0,Видное,Бирюлёво,252699
3037,Видное,4,8,1,32.5,6250000,2019,16.1,8.4,Видное,Бутово,192307
3038,Видное,12,17,1,30.5,7350000,2016,19.5,11.0,Видное,Домодедовская,240983
3039,Видное,24,24,1,42.2,9510192,2026,16.1,11.8,Видное,Бирюлёво,225359
3040,Видное,2,17,1,38.0,7199000,2019,14.0,12.0,Видное,Домодедовская,189447
3041,Видное,1,9,1,27.0,4800000,1964,16.0,5.0,Видное,Домодедовская,177777
3042,Видное,24,25,1,42.2,10323175,2025,16.1,11.8,Видное,Бирюлёво,244624
3043,Видное,5,17,1,38.6,7300000,2019,25.0,8.5,Видное,Домодедовская,189119
3044,Видное,8,18,1,37.0,6200000,2014,16.0,8.0,Видное,Домодедовская,167567
3045,Видное,22,24,1,38.5,9345105,2025,14.0,11.0,Видное,Бирюлёво,242730
3046,Видное,7,8,1,34.7,5475000,2022,16.0,9.0,Видное,Бутово,157780
3047,Видное,8,18,1,40.4,6000000,2014,18.0,8.5,Видное,Домодедовская,148514
3049,Видное,1,5,2,45.2,6400000,1965,39.2,6.0,Видное,Домодедовская,141592
3050,Видное,2,9,2,73.0,11000000,2002,40.0,12.0,Видное,Домодедовская,150684
3051,Видное,5,25,2,59.0,13132928,2026,28.9,12.1,Видное,Бирюлёво,222592
3052,Видное,3,17,2,47.7,10400000,2016,27.3,15.4,Видное,Домодедовская,218029
3053,Видное,13,19,2,55.5,10000000,2019,44.5,11.0,Видное,Домодедовская,180180
3054,Видное,20,24,2,59.1,13348326,2025,29.6,12.7,Видное,Бирюлёво,225860
3055,Видное,5,12,2,52.3,8700000,1988,30.0,9.0,Видное,Царицыно,166347
3056,Видное,2,3,2,40.6,5000000,1962,28.4,6.0,Видное,Домодедовская,123152
3057,Видное,25,25,2,52.9,12489902,2026,25.5,10.6,Видное,Бирюлёво,236104
3060,Видное,17,25,2,59.2,12883104,2026,29.6,12.7,Видное,Бирюлёво,217620
3061,Видное,16,17,2,66.0,10350000,2018,39.0,10.0,Видное,Домодедовская,156818
3062,Видное,8,17,2,65.0,9400000,2003,35.0,15.0,Видное,Домодедовская,144615
3063,Видное,19,25,2,61.4,13867804,2025,29.2,13.4,Видное,Бирюлёво,225860
3064,Видное,5,16,2,62.3,10700000,2014,16.7,11.5,Видное,Домодедовская,171749
3065,Видное,2,2,2,40.0,5500000,1954,25.0,7.0,Видное,Битца,137500
3066,Видное,19,25,2,52.8,13601280,2025,25.4,10.6,Видное,Бирюлёво,257600
3067,Видное,12,24,2,52.8,9500000,2026,25.4,10.6,Видное,Царицыно,179924
3068,Видное,1,2,2,47.0,4600000,1963,28.0,11.0,Видное,Битца,97872
3069,Видное,15,24,2,58.2,13305684,2025,28.3,12.2,Видное,Бирюлёво,228620
3070,Видное,6,17,2,59.3,9700000,2019,21.5,8.0,Видное,Домодедовская,163575
3072,Видное,25,25,2,59.5,14964250,2025,29.2,12.2,Видное,Бирюлёво,251500
3073,Видное,13,19,2,57.9,9700000,2014,30.6,10.9,Видное,Домодедовская,167530
3074,Видное,1,2,2,42.3,8249000,1951,23.5,5.9,Видное,Домодедовская,195011
3075,Видное,2,25,2,52.3,13328132,2025,25.1,10.5,Видное,Бирюлёво,254840
3076,Видное,1,17,2,65.0,7990000,2016,39.0,10.0,Видное,Домодедовская,122923
3077,Видное,2,2,2,38.5,5550000,1953,24.9,5.7,Видное,Битца,144155
3078,Видное,23,24,2,61.4,13447521,2025,29.2,13.4,Видное,Бирюлёво,219015
3079,Видное,7,17,2,73.0,11200000,2018,42.0,16.0,Видное,Домодедовская,153424
3080,Видное,3,12,2,52.0,9200000,2005,26.0,12.0,Видное,Царицыно,176923
3081,Видное,23,25,2,59.5,12517134,2026,29.2,12.2,Видное,Бирюлёво,210372
3082,Видное,2,9,2,45.5,6990000,1975,39.0,6.5,Видное,Царицыно,153626
3083,Видное,6,17,2,52.6,8000000,2017,26.0,16.0,Видное,Домодедовская,152091
3084,Видное,19,24,2,59.6,12997866,2025,29.2,12.3,Видное,Бирюлёво,218085
3085,Видное,6,17,2,61.2,13500000,2016,34.0,11.5,Видное,Домодедовская,220588
3086,Видное,5,12,2,46.9,8800000,1969,31.8,8.8,Видное,Домодедовская,187633
3088,Видное,2,18,2,67.5,11300000,2009,38.7,13.2,Видное,Домодедовская,167407
3089,Видное,15,17,2,32.8,6600000,2025,20.4,4.8,Видное,Царицыно,201219
